,Board Game Rank,Title,Year,Description,Geek Rating,Avg Rating,Num Voters,Num Players Min,Num Players Max,Best Num Players Min,Best Num Players Max,Playtime Min,Playtime Max,Player Min Age,Language Dependence,Weight,Category,Designer
1335,1336,"Artifacts, Inc.",2014,"Go on expeditions to find artifacts, then sell them to museums for fame and fortune.",6.340,6.79,3003,2,4,,,60,60,13,Moderate in-game text - needs crib sheet or paste ups,2.1739130434782608,Strategy ,Ryan Laukat
1336,1337,The Ancient World,2014,Thrive in a wonderful world. Claim banners to become the most influential city-state.,6.340,7.03,2002,2,4,4,4,90,90,13,Some necessary text - easily memorized or small crib sheet,2.7238095238095239,Strategy ,Ryan Laukat
1337,1338,Unlock!: Secret Adventures – The Adventurers of Oz,2018,,6.340,7.47,1170,1,6,2,3,60,60,10,Extensive use of text - massive conversion needed to be playable,2.875,,Thomas Cau\u00ebt
1338,1339,La Cosa Nostra,2014,,6.339,7.72,1063,3,5,4,4,90,90,16,Moderate in-game text - needs crib sheet or paste ups,2.6734693877551021,Thematic,Johannes Sich
1339,1340,7 Wonders,Second Edition,,6.339,8.24,840,3,7,4,5,30,30,10,No necessary in-game text,2.1666666666666665,Strategy ,Antoine Bauza
1340,1341,Gulo Gulo,2003,Remove the right eggs carefully to move forward and rescue your baby.,6.339,6.84,2761,2,6,4,4,15,20,5,No necessary in-game text,1.08125,Children's ,J\u00fcrgen P. Grunau
1341,1342,PitchCar Mini,2003,,6.339,6.96,2102,2,8,4,6,30,30,6,No necessary in-game text,1.1456953642384107,Party  | Family ,Jean du Po\u00ebl
1342,1343,Forge War,2015,Mine ore & forge weapons for adventurers to go on quests to fight deepening darkness.,6.339,7.27,1519,1,4,3,3,60,180,12,Some necessary text - easily memorized or small crib sheet,3.7657657657657659,Strategy ,Isaac Childres
1343,1344,Legendary Encounters: A Firefly Deck Building Game,2016,Assemble the galaxy's most lovable rogues to steal goods and escape the inevitable!,6.338,7.15,1727,1,5,3,3,45,90,14,Moderate in-game text - needs crib sheet or paste ups,2.6333333333333333,Thematic,Ben Cichoski
1344,1345,Samurai Spirit,2014,"Together the honourable Samurai stand, to protect the village from the bandit man!",6.338,6.67,4404,1,7,,,30,30,9,No necessary in-game text,2.1485714285714286,Strategy ,Antoine Bauza
1345,1346,Planet,2018,"Building a 3D world is easy, build one to attract the desired wildlife...",6.337,6.76,3434,2,4,4,4,30,45,8,No necessary in-game text,1.6323529411764706,Family ,Urtis \u0160ulinskas
1346,1347,Bloodborne: The Card Game,2016,The hunt is on! Take on nightmarish fiends and collect the most blood echoes.,6.337,6.92,2950,3,5,4,5,30,45,14,Moderate in-game text - needs crib sheet or paste ups,2.0847457627118646,Thematic,Eric M. Lang
1347,1348,Beyond Balderdash,1993,Divine the true story from your opponents' bluffs and hope you can fool them too.,6.337,6.83,2993,2,6,6,6,45,45,10,Unplayable in another language,1.4734299516908214,Party ,Laura Robinson
1348,1349,The Red Dragon Inn 2,2008,4 new heroes join the party in this standalone expansion. Drink 'till you drop!,6.337,6.91,2833,2,4,4,4,45,45,13,Moderate in-game text - needs crib sheet or paste ups,1.801980198019802,Thematic | Party ,Cliff Bohm
1349,1350,Pergamon,2011,Archaeologists compete to exhibit the best collection in the museum.,6.336,6.91,2300,2,4,3,3,45,45,10,No necessary in-game text,2.247311827956989,Strategy  | Family ,Stefan Dorra
